"","city","region","year","season","attendance","arrests","arrests_percent","post","attendance_thosand","treat","income_per_head","percent_from_income","unemployed","beer_tobacco","population","unemployed_thousand","population_thousand","arrest_vs_population"
"308","Oxford","SouthEast",1993,"1993/1994",158182,25,0.016,"1",158.182,"1",10422,0.625503742,3771100,6519,325995,3771.1,325.995,0.0766882927652265
"309","Peterborough","East",1987,"1987/1988",71881,15,0.02,"0",71.881,"0",6467,0.416576465,1959500,2694,55469,1959.5,55.469,0.270421316410968
"310","Peterborough","East",1988,"1988/1989",74469,14,0.02,"0",74.469,"0",7334,0.396100355,1379500,2905,56001,1379.5,56.001,0.249995535794004
"311","Peterborough","East",1989,"1989/1990",110777,12,0.01,"0",110.777,"0",8154,0.377483444,960300,3078,56244,960.3,56.244,0.213356091316407
"312","Peterborough","East",1990,"1990/1991",111124,11,0.01,"1",111.124,"0",8963,0.372531518,1031700,3339,56583,1031.7,56.583,0.194404679850839
"313","Peterborough","East",1991,"1991/1992",144425,51,0.04,"1",144.425,"0",9381,0.389830508,1825000,3657,57195,1825,57.195,0.891686336218201
"314","Peterborough","East",1992,"1992/1993",185480,91,0.05,"1",185.48,"0",9856,0.375,2464200,3696,57323,2464.2,57.323,1.58749542068629
"315","Peterborough","East",1993,"1993/1994",170477,57,0.03,"1",170.477,"0",9986,0.383536952,2669500,3830,57407,2669.5,57.407,0.992910272266448
"316","Plymouth","Southwest",1987,"1987/1988",226152,29,0.013,"0",226.152,"1",6202,0.193647211,2045700,1201,203882,2045.7,203.882,0.14223913832511
"317","Plymouth","Southwest",1988,"1988/1989",198443,19,0.01,"0",198.443,"1",6659,0.193272263,1587500,1287,205917,1587.5,205.917,0.0922701865314666
"318","Plymouth","Southwest",1989,"1989/1990",200720,22,0.011,"0",200.72,"1",7424,0.185210129,1164600,1375,206723,1164.6,206.723,0.106422604161124
"319","Plymouth","Southwest",1990,"1990/1991",162779,34,0.021,"1",162.779,"1",8220,0.181021898,1157800,1488,207373,1157.8,207.373,0.163955770519788
"320","Plymouth","Southwest",1991,"1991/1992",154991,12,0.008,"1",154.991,"1",8700,0.189310345,1913100,1647,208264,1913.1,208.264,0.0576191756616602
"321","Plymouth","Southwest",1992,"1992/1993",146668,24,0.016,"1",146.668,"1",9212,0.182045158,2471400,1677,209405,2471.4,209.405,0.114610443876698
"322","Plymouth","Southwest",1993,"1993/1994",206075,33,0.016,"1",206.075,"1",9386,0.179735777,2573200,1687,210281,2573.2,210.281,0.156932866022132
